x,y,z
9.72387e-07,2.26573e-08,5.08411e-07
-3.35883e-07,1.42444e-06,1.08051e-07
1.25681e-06,-1.14135e-06,3.76879e-07
4.99751e-09,-9.98698e-08,1.9522e-06
9.29569e-07,8.94435e-07,9.25056e-07
-5.44174e-07,-7.76385e-07,9.1736e-07
1.40751e-07,-9.41015e-07,5.98563e-07
-1.31971e-06,1.33142e-06,6.6168e-07
-1.25008e-06,3.11158e-07,1.09408e-06
5.33759e-07,1.11279e-06,8.27768e-07
1.01568e-07,4.70377e-08,1.49408e-07
4.20049e-07,-4.66535e-07,4.39492e-07
-2.38864e-07,2.10475e-07,1.22427e-06
6.65088e-07,1.57022e-06,6.09947e-07
-7.47101e-07,-5.37013e-07,5.60214e-07
-1.17175e-06,-3.46744e-07,7.16358e-07
1.3629e-06,1.06968e-06,8.56624e-07
-1.34812e-06,1.16138e-07,3.75621e-07
1.39638e-06,1.11522e-06,-2.74147e-08
1.0375e-06,3.63013e-07,4.98345e-07
1.19081e-06,-8.41083e-07,7.26787e-09
2.11853e-07,-2.13019e-07,9.47746e-07
-5.14056e-08,-1.12624e-06,1.20856e-06
-6.39928e-07,6.9735e-07,1.07178e-06
-6.75746e-08,-1.66683e-06,9.8821e-07
-8.67079e-08,2.68396e-07,8.33046e-07
-2.35397e-08,3.36586e-07,5.01761e-07
-6.45431e-08,7.10648e-07,8.73731e-07
1.10928e-06,-7.63236e-07,1.13672e-06
6.24072e-07,-5.38328e-07,1.19625e-06
-3.28859e-07,-8.29774e-07,2.89912e-07
8.41596e-07,-3.98018e-07,1.0394e-07
2.29103e-07,5.49435e-07,5.33567e-07
-8.69203e-09,-5.75793e-07,8.0047e-07
-9.51261e-07,1.16393e-06,-7.56691e-09
-5.75175e-07,-1.89224e-06,-5.18784e-08
-7.30239e-07,6.64136e-07,7.02284e-07
9.16741e-07,1.21139e-06,1.33601e-07
-3.85765e-07,1.06068e-07,9.70549e-07
-3.7518e-07,-6.34822e-08,1.17515e-07
-9.49673e-07,-6.35687e-07,6.5249e-07
7.71403e-07,9.27664e-07,5.32274e-08
8.08482e-07,-8.92867e-07,1.52046e-07
5.1365e-07,8.38103e-08,1.63053e-06
-1.14214e-06,3.6633e-07,1.43553e-06
2.1252e-08,1.02771e-06,3.83856e-07
8.23943e-07,1.41564e-06,7.81546e-07
2.37716e-07,-8.49103e-07,7.67138e-07
8.19263e-07,-2.31082e-07,6.33618e-07
-9.41931e-07,-8.98994e-07,5.81815e-07
8.34158e-07,-1.2735e-06,3.70291e-09
7.80573e-07,-8.60479e-07,8.32785e-08
1.6893e-07,2.62597e-08,1.69035e-06
-6.66402e-07,-9.00201e-07,7.51347e-08
-1.15297e-06,-9.81397e-07,5.81176e-07
-3.36106e-07,-9.92371e-07,4.70944e-07
6.83559e-07,2.88897e-07,4.518e-07
-1.04437e-06,5.35893e-07,1.4631e-06
-4.54954e-07,6.3117e-07,3.61489e-08
-8.74609e-07,-6.81231e-07,4.51895e-07
1.31417e-07,-7.17698e-07,5.83505e-07
-9.639e-07,9.90065e-07,1.18364e-06
1.49766e-07,-1.37091e-07,8.43224e-07
-3.52915e-07,-1.36243e-06,6.64277e-07
-1.19776e-06,-1.24517e-06,9.62821e-07
6.81063e-07,2.03688e-08,1.06188e-06
9.57076e-07,-6.15753e-07,1.38362e-06
5.51738e-07,-1.86482e-07,8.89797e-07
4.60024e-07,1.58514e-06,5.22628e-08
-1.65409e-07,-1.083e-06,3.79417e-07
-2.24365e-07,9.11376e-08,1.43396e-06
1.53955e-06,5.79944e-07,1.0013e-07
-1.79483e-07,-7.71107e-07,6.69655e-07
3.78683e-07,-5.93601e-07,5.30174e-07
1.30146e-06,8.26768e-07,9.12839e-08
2.40322e-07,-3.31966e-07,1.53382e-06
8.11631e-07,-1.13273e-06,9.48279e-07
-7.34773e-07,9.18113e-07,1.32689e-06
3.48517e-07,4.2422e-07,1.35556e-06
-7.85244e-07,-2.87343e-07,4.4742e-07
8.89588e-07,5.98511e-07,8.87563e-07
-4.65839e-07,-6.73303e-07,1.07981e-06
1.21659e-06,9.13115e-07,7.14426e-07
-1.3988e-06,-5.47382e-07,4.58116e-07
-4.14758e-07,8.09714e-07,5.53404e-08
4.723e-07,-1.19339e-07,1.27462e-06
-5.967e-07,-2.84491e-07,7.40377e-07
8.86024e-07,-3.28338e-07,5.91556e-07
5.10997e-07,7.49469e-08,9.50372e-07
-3.94508e-07,-7.40595e-07,1.37874e-06
6.04852e-07,-1.08659e-07,6.36023e-07
-6.67806e-07,4.28716e-07,1.03187e-06
1.04904e-06,-1.21544e-06,7.25099e-07
-1.00148e-06,8.45657e-07,1.75438e-07
1.12341e-07,-2.38144e-07,6.73255e-07
1.0946e-06,-2.31612e-07,4.82945e-07
1.09709e-06,-4.09524e-07,5.51832e-07
-8.65612e-07,-8.48478e-07,7.59775e-07
6.90823e-07,-3.37558e-07,8.90864e-08
3.89531e-07,-8.95504e-07,7.36649e-07
1.1244e-06,-1.02019e-07,1.53327e-07
-3.00233e-07,-1.65599e-06,3.34252e-07
7.83339e-07,-1.6373e-06,-7.84377e-11
-4.35134e-08,1.41295e-07,1.02501e-06
8.22571e-08,2.29746e-07,9.57343e-07
2.9378e-07,1.10399e-06,1.35255e-06
4.87018e-07,-2.44788e-07,1.16427e-06
-2.51042e-07,-1.44368e-06,1.29993e-07
1.02198e-06,9.87171e-07,1.07197e-06
-9.04442e-08,1.15139e-06,4.19946e-07
-5.80654e-07,-4.54545e-07,9.6279e-07
7.41894e-07,2.76566e-07,5.00496e-08
-9.59838e-07,-7.27392e-07,1.31905e-07
4.33312e-07,9.79425e-07,9.96689e-07
