t,x,y,z,v
2.83,1.07137e-07,-7.75897e-07,-5.81372e-07,4.3693e-07
2.84,-7.01374e-09,-7.378e-07,-6.16696e-07,4.39991e-07
2.85,1.02467e-07,-7.62041e-07,-6.40257e-07,4.3848e-07
2.86,1.17324e-07,-7.524e-07,-5.89449e-07,4.46374e-07
2.87,1.4649e-07,-7.12511e-07,-5.6501e-07,4.37733e-07
2.88,3.54838e-07,-7.45061e-07,-6.36273e-07,4.41619e-07
2.89,3.94198e-07,-7.47769e-07,-6.12642e-07,4.36171e-07
2.9,3.9811e-07,-8.23525e-07,-6.82805e-07,4.38239e-07
2.91,5.06799e-07,-7.38393e-07,-6.39618e-07,4.37621e-07
2.92,5.26011e-07,-7.94735e-07,-6.56052e-07,4.35583e-07
2.93,4.53349e-07,-8.44483e-07,-6.82891e-07,4.27154e-07
2.94,5.04647e-07,-8.78769e-07,-6.86836e-07,4.34338e-07
2.95,5.02154e-07,-8.05095e-07,-7.43235e-07,4.30064e-07
2.96,5.5535e-07,-7.309e-07,-6.98756e-07,4.40707e-07
2.97,5.19434e-07,-7.09062e-07,-7.56664e-07,4.38635e-07
2.98,5.30028e-07,-7.08521e-07,-8.09133e-07,4.36552e-07
2.99,5.3191e-07,-7.13169e-07,-8.30242e-07,4.36624e-07
3,5.1456e-07,-6.62947e-07,-8.08762e-07,4.42127e-07
3.01,5.52699e-07,-7.66864e-07,-8.19739e-07,4.40326e-07
3.02,4.87328e-07,-8.11495e-07,-8.47636e-07,4.31249e-07
3.03,5.10841e-07,-6.57603e-07,-9.37694e-07,4.35477e-07
3.04,4.99335e-07,-6.92768e-07,-8.59882e-07,4.37799e-07
3.05,5.04707e-07,-6.49937e-07,-9.26932e-07,4.34472e-07
3.06,5.23282e-07,-6.01986e-07,-9.70409e-07,4.37271e-07
3.07,4.97971e-07,-6.58355e-07,-1.03246e-06,4.33022e-07
3.08,4.59326e-07,-5.9439e-07,-1.03028e-06,4.39178e-07
3.09,3.84609e-07,-6.73406e-07,-1.09265e-06,4.36865e-07
3.1,3.52551e-07,-6.06324e-07,-1.1442e-06,4.40136e-07
3.11,2.66009e-07,-4.9738e-07,-1.18099e-06,4.37643e-07
3.12,3.17153e-07,-4.59153e-07,-1.20372e-06,4.35786e-07
3.13,2.54838e-07,-4.97086e-07,-1.22161e-06,4.30518e-07
3.14,2.31613e-07,-4.89519e-07,-1.30633e-06,4.37611e-07
3.15,2.64062e-07,-5.37073e-07,-1.31831e-06,4.29701e-07
3.16,3.40277e-07,-4.81439e-07,-1.41317e-06,4.37288e-07
3.17,4.12199e-07,-3.94659e-07,-1.33228e-06,4.45765e-07
