t,x,y,z,v
3.16,-1.16698e-06,-1.1892e-06,-5.20233e-07,4.58263e-07
3.17,-1.16029e-06,-1.17513e-06,-5.44899e-07,4.61425e-07
3.18,-1.15557e-06,-1.22015e-06,-6.07705e-07,4.57213e-07
3.19,-1.10836e-06,-1.29785e-06,-6.99919e-07,4.56848e-07
3.2,-1.05083e-06,-1.31495e-06,-6.37754e-07,4.60887e-07
3.21,-1.14101e-06,-1.42873e-06,-6.53568e-07,4.63698e-07
3.22,-1.1538e-06,-1.4564e-06,-6.6996e-07,4.56211e-07
3.23,-1.15782e-06,-1.45635e-06,-6.75404e-07,4.52528e-07
3.24,-1.07103e-06,-1.43473e-06,-6.09399e-07,4.55527e-07
3.25,-1.05394e-06,-1.51324e-06,-6.01206e-07,4.50179e-07
3.26,-1.10544e-06,-1.51457e-06,-5.03858e-07,4.58729e-07
3.27,-1.23836e-06,-1.48113e-06,-5.38707e-07,4.55505e-07
3.28,-1.17837e-06,-1.55058e-06,-4.62798e-07,4.59469e-07
3.29,-1.13632e-06,-1.56092e-06,-4.74874e-07,4.57101e-07
3.3,-1.09111e-06,-1.49875e-06,-4.96218e-07,4.57291e-07
3.31,-1.07852e-06,-1.48567e-06,-5.44154e-07,4.55088e-07
3.32,-9.7839e-07,-1.40808e-06,-6.34853e-07,4.59635e-07
3.33,-9.26039e-07,-1.36115e-06,-8.01531e-07,4.63004e-07
3.34,-8.62858e-07,-1.42177e-06,-7.6881e-07,4.63034e-07
3.35,-7.49717e-07,-1.41324e-06,-8.96578e-07,4.61167e-07
3.36,-7.45895e-07,-1.42631e-06,-8.72617e-07,4.62032e-07
3.37,-8.62374e-07,-1.43565e-06,-8.88661e-07,4.58067e-07
3.38,-9.19202e-07,-1.42057e-06,-8.45961e-07,4.57228e-07
3.39,-8.24187e-07,-1.35305e-06,-8.03912e-07,4.5912e-07
3.4,-9.08078e-07,-1.36801e-06,-8.34213e-07,4.59318e-07
3.41,-9.3532e-07,-1.41498e-06,-8.86094e-07,4.58745e-07
3.42,-9.49888e-07,-1.32944e-06,-8.77249e-07,4.60863e-07
3.43,-9.4141e-07,-1.30166e-06,-8.54482e-07,4.60638e-07
3.44,-9.68596e-07,-1.28584e-06,-8.03576e-07,4.59879e-07
3.45,-1.02412e-06,-1.24892e-06,-9.22438e-07,4.59326e-07
3.46,-1.14467e-06,-1.271e-06,-9.14419e-07,4.57738e-07
3.47,-1.15502e-06,-1.28383e-06,-8.24025e-07,4.56082e-07
3.48,-1.17261e-06,-1.2578e-06,-8.20446e-07,4.56038e-07
3.49,-1.18364e-06,-1.39114e-06,-8.59894e-07,4.57157e-07
3.5,-1.19342e-06,-1.38826e-06,-8.99933e-07,4.57543e-07
3.51,-1.10442e-06,-1.2811e-06,-8.52113e-07,4.5745e-07
3.52,-1.14778e-06,-1.22961e-06,-8.60411e-07,4.58257e-07
3.53,-1.17233e-06,-1.24792e-06,-9.34348e-07,4.57976e-07
3.54,-1.15763e-06,-1.17482e-06,-7.89123e-07,4.55133e-07
3.55,-1.14678e-06,-1.17613e-06,-8.33241e-07,4.54955e-07
3.56,-1.08068e-06,-1.20036e-06,-9.68774e-07,4.60052e-07
3.57,-8.58963e-07,-1.27181e-06,-9.61601e-07,4.54087e-07
