t,x,y,z,v
3.55,-1.48085e-06,-8.44047e-08,1.35211e-06,6.44079e-07
3.56,-1.46217e-06,-2.27177e-07,1.52272e-06,6.4176e-07
3.57,-1.46498e-06,-1.52289e-07,1.63544e-06,6.35307e-07
3.58,-1.43027e-06,-7.31796e-08,1.67935e-06,6.43021e-07
3.59,-1.56054e-06,-3.63143e-08,1.71506e-06,6.42619e-07
3.6,-1.3718e-06,-6.01362e-08,1.77459e-06,6.09508e-07
3.61,-1.46072e-06,3.31613e-08,1.81191e-06,6.19824e-07
3.62,-1.38253e-06,-1.10172e-08,1.81265e-06,6.69004e-07
3.63,-1.36389e-06,-6.83824e-08,1.89694e-06,6.90921e-07
3.64,-1.29864e-06,-9.75058e-08,1.84255e-06,6.92478e-07
3.65,-1.26008e-06,-1.1083e-07,1.82526e-06,7.63513e-07
3.66,-1.31725e-06,-1.44871e-08,1.90938e-06,7.32652e-07
3.67,-1.2231e-06,3.9738e-08,1.90725e-06,7.31719e-07
3.68,-1.2116e-06,7.72665e-08,1.94644e-06,6.86491e-07
3.69,-1.23859e-06,-2.89729e-08,1.95429e-06,7.02194e-07
3.7,-1.19686e-06,-9.99846e-08,1.90434e-06,7.27699e-07
3.71,-1.26855e-06,-1.47267e-07,1.95077e-06,7.21121e-07
